event_id,title,category,source,date,latitude,longitude,magnitude_value,magnitude_unit,closed
EONET_19169,Tropical Cyclone Indusa,Severe Storms,JTWC,2026-04-03T06:00:00Z,-15.2,72.9,55,kts,
EONET_19169,Tropical Cyclone Indusa,Severe Storms,JTWC,2026-04-03T12:00:00Z,-16.5,72.2,60,kts,
EONET_19169,Tropical Cyclone Indusa,Severe Storms,JTWC,2026-04-03T18:00:00Z,-17.8,71.6,65,kts,
EONET_19169,Tropical Cyclone Indusa,Severe Storms,JTWC,2026-04-04T00:00:00Z,-19.1,70.5,85,kts,
EONET_19169,Tropical Cyclone Indusa,Severe Storms,JTWC,2026-04-04T06:00:00Z,-20.3,70.2,90,kts,
EONET_19169,Tropical Cyclone Indusa,Severe Storms,JTWC,2026-04-04T12:00:00Z,-21.7,70,80,kts,
EONET_19169,Tropical Cyclone Indusa,Severe Storms,JTWC,2026-04-04T18:00:00Z,-23.7,70.3,70,kts,
EONET_19169,Tropical Cyclone Indusa,Severe Storms,JTWC,2026-04-05T00:00:00Z,-25.7,70.2,70,kts,
EONET_19169,Tropical Cyclone Indusa,Severe Storms,JTWC,2026-04-05T06:00:00Z,-28,70.9,65,kts,
EONET_19169,Tropical Cyclone Indusa,Severe Storms,JTWC,2026-04-05T12:00:00Z,-30.2,71.9,60,kts,
EONET_19169,Tropical Cyclone Indusa,Severe Storms,JTWC,2026-04-05T18:00:00Z,-32,73.1,50,kts,
EONET_19208,"RX PCS Beauchamp North Prescribed Fire, Scott, Arkansas",Wildfires,IRWIN,2026-04-01T09:11:00Z,34.800258,-94.327475,1402,acres,
EONET_19229,"Julie Pond Wildfire, Dorchester, Maryland",Wildfires,IRWIN,2026-03-31T13:22:00Z,38.396085,-75.97625,1500,acres,
EONET_19232,"Caddo Lake C-6 RX Prescribed Fire, Harrison, Texas",Wildfires,IRWIN,2026-03-31T10:13:00Z,32.667308,-94.104296,509,acres,
EONET_19224,"C-148 BLK 9 10 &amp; 11 EN RX Prescribed Fire, Newberry, South Carolina",Wildfires,IRWIN,2026-03-31T07:55:00Z,34.421667,-81.528333,606.3,acres,
EONET_19225,"Middle Toe Wildfire, Pittsburg, Oklahoma",Wildfires,IRWIN,2026-03-30T19:32:00Z,35.0475,-95.3977778,505,acres,
EONET_19194,"Hall Thompson Lane Wildfire, Shelby, Alabama",Wildfires,IRWIN,2026-03-30T15:26:00Z,33.4077778,-86.5408333,2500,acres,
EONET_19239,"Sweetwater Wildfire, Marengo, Alabama",Wildfires,IRWIN,2026-03-30T12:41:00Z,32.2358333,-87.915,570,acres,
EONET_19237,"RX PCS Henry Mountain Prescribed Fire, Scott, Arkansas",Wildfires,IRWIN,2026-03-30T11:43:00Z,34.805454,-94.248164,1888,acres,
EONET_19233,"DCNF C37 RX Prescribed Fire, Houston, Texas",Wildfires,IRWIN,2026-03-30T10:17:00Z,31.347207,-95.258555,1373,acres,
EONET_19234,"RX Forks 14 Prescribed Fire, Montgomery, Arkansas",Wildfires,IRWIN,2026-03-30T09:54:00Z,34.564167,-93.801389,3795,acres,
EONET_19238,"Chickasawhay CPT 373 RX Prescribed Fire, Wayne, Mississippi",Wildfires,IRWIN,2026-03-30T09:28:00Z,31.5429,-88.8988,1444,acres,
EONET_19212,"14B/14C RX Prescribed Fire, Jones, Georgia",Wildfires,IRWIN,2026-03-30T09:16:00Z,33.1173,-83.6958,501,acres,
EONET_19236,"ANF Turkey Creek C-7 RX Prescribed Fire, San Augustine, Texas",Wildfires,IRWIN,2026-03-30T09:11:00Z,31.413583,-94.193667,1667,acres,
EONET_19205,"Lamar Bennett Trail Wildfire, Ware, Georgia",Wildfires,IRWIN,2026-03-29T21:00:00Z,31.4411111,-82.5197222,1279,acres,
EONET_19207,"Cane Creek Wildfire, Wilkes, North Carolina",Wildfires,IRWIN,2026-03-29T18:16:00Z,36.31295,-81.1739,600,acres,
EONET_19235,"Long Ridge Rx Unit 41 &amp; 47 Prescribed Fire, Athens, Ohio",Wildfires,IRWIN,2026-03-29T17:01:00Z,39.449275,-82.124323,728,acres,
EONET_19245,"Birdseye RX Prescribed Fire, Crawford, Indiana",Wildfires,IRWIN,2026-03-29T15:40:00Z,38.3132,-86.6787,633,acres,
EONET_19213,"Compartment 154 RX Prescribed Fire, Putnam, Georgia",Wildfires,IRWIN,2026-03-29T14:35:00Z,33.376697,-83.41644,1501,acres,
EONET_19241,"Johnson Hills Wildfire, Phelps, Nebraska",Wildfires,IRWIN,2026-03-29T11:43:00Z,40.496668,-99.615742,1200,acres,
EONET_19247,"rx-Refuge Pool South Prescribed Fire, Juneau, Wisconsin",Wildfires,IRWIN,2026-03-29T09:15:00Z,44.2254153,-90.2632005,609.2,acres,
EONET_19246,"McClurg RX Prescribed Fire, Ozark, Missouri",Wildfires,IRWIN,2026-03-29T08:13:00Z,36.800278,-92.754167,2134,acres,
EONET_19242,"BOMAN Wildfire, Osage, Oklahoma",Wildfires,IRWIN,2026-03-28T18:18:00Z,36.5468,-96.077,1810,acres,
EONET_19249,"BISON LOOP Wildfire, Osage, Oklahoma",Wildfires,IRWIN,2026-03-28T17:14:00Z,36.820957,-96.45943,2910,acres,
EONET_19243,"Sheep Creek RX Prescribed Fire, Lemhi, Idaho",Wildfires,IRWIN,2026-03-27T18:19:00Z,45.457667,-113.9325,1300,acres,
EONET_19226,"Old 66 Wildfire, Quay, New Mexico",Wildfires,IRWIN,2026-03-27T15:32:00Z,35.146209,-103.285447,3668,acres,
EONET_19252,"Carroll Co State Assist Wildfire, Carroll, Mississippi",Wildfires,IRWIN,2026-03-27T15:29:00Z,33.374444,-89.955556,1500,acres,
